"|","|__coffeechooser__base","|__coffeechooser__clouds__all","|__coffeechooser__cod","|__coffeechooser__coord__lat","|__coffeechooser__coord__lon","|__coffeechooser__device","|__coffeechooser__dt","|__coffeechooser__id","|__coffeechooser__main__humidity","|__coffeechooser__main__pressure","|__coffeechooser__main__temp","|__coffeechooser__main__temp_max","|__coffeechooser__main__temp_min","|__coffeechooser__name","|__coffeechooser__sys__country","|__coffeechooser__sys__id","|__coffeechooser__sys__message","|__coffeechooser__sys__sunrise","|__coffeechooser__sys__sunset","|__coffeechooser__sys__type","|__coffeechooser__visibility","|__coffeechooser__weather__description","|__coffeechooser__weather__icon","|__coffeechooser__weather__id","|__coffeechooser__weather__main","|__coffeechooser__wind__deg","|__coffeechooser__wind__gust","|__coffeechooser__wind__speed","|__clouds","|__date","|__device","|__humidity","|__lat","|__location","|__lon","|__pressure","|__temp","|__type","|__userId","|__visibility","|__weatherCond","|__windDeg","|__windSpeed"
"2CDAE86D-C2BE-469E-BBE8-89BE8E754593","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-15T15:16:05.940Z","","68","41.36","Highland Falls","-73.95","1018","69","2","6eUdqOHk4YhcgJo2CqkSv8PI7ZF3","32186","","0","5"
"2acb6d20-5557-11e7-aaa5-79bc731415ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-20T01:24:12.658Z","Alexa","94","41.2","Garnerville","-74","1011","70.9","1","","3219","","180","6.93"
"2dffc920-489e-11e7-accd-d1188fe465f0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-06-03T20:49:47.187Z","Alexa","30","41.2","Garnerville","-74","1013","72.43","1","","16093","","300","12.75"
"3025ed30-488d-11e7-bf59-89f062c5e3a9","stations","75","200","41.2","-74","Alexa","1496513700","0","35","1014","294.6","296.15","293.15","Garnerville","US","2142","0.0049","1496481860","1496535882","1","16093","broken clouds","04d","803","Clouds","300","9.8","6.2","","","","","","","","","","","","","","",""
"307E13F1-0A98-4266-AD3B-645D27646174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-01T11:04:35.201Z","","93","41.11","Airmont","-74.13","1015","62","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","70","4"
"319B435A-6B0D-43AD-8221-B3F6FC1283BC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-16T23:13:05.433Z","","100","41.2","West Haverstraw","-73.98","1014","65","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","2414","","95.5024","4"
"32D59833-4F1A-4B5A-B918-37FE14F74D32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-17T21:18:10.331Z","","83","41.7","Arlington","-73.88","1014","73","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","0","5"
"33E1EA17-7CD3-4744-835E-F592B8C34004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-01T02:59:27.896Z","","93","41.11","Airmont","-74.13","1015","62","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","70","4"
"33FFDE62-A987-40DA-A8AD-1F6AEA1A7FAD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-07-17T11:11:49.085Z","","100","41.11","Suffern","-74.14","1017","66","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","131.502","3"
"36F829DB-6FC0-468B-970C-46853D2F9C4A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-10T22:08:15.731Z","","33","40.73","Bellerose Terrace","-73.74","1014","84","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","270","8"
"371B390D-1910-40C6-8929-CD9C8B5D4962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-06-20T11:54:35.953Z","","78","41.11","Suffern","-74.14","1012","70","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","24140","","260","9"
"3747FCE1-834A-49C5-8AE9-7A94FF524AEA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-31T18:21:14.360Z","","77","40.71","New York","-74.01","1017","66","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","8047","","210","3"
"3AFE7FEA-C6C7-4267-B5A0-8A018EDF34DB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-07-27T11:15:28.503Z","","93","41.11","Airmont","-74.13","1018","63","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","222.504","3"
"3c21df80-6981-11e7-9a49-13a7ba58ee27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-07-15T17:15:43.864Z","Alexa","61","41.2","Haverstraw","-73.97","1014","80.31","1","","16093","","273.503","3.13"
"40D198B3-654E-4613-B1C3-92E9CE4F49AF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-09T01:39:01.579Z","","58","41.1","Upper Nyack","-73.93","1011","60","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","115.002","2"
"4113A4C6-2D75-46D9-8E63-B5C5790283F0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-04T12:17:35.425Z","","51","40.69","Oak Island Junction","-74.18","1017","55","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","227.508","3"
"4B19FF9D-C314-4E56-839B-664AAB3317FF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-09-01T14:19:25.693Z","","41","41.2","West Haverstraw","-73.99","1020","59","1","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","330","16"
"5089682B-006B-4296-8498-3DBA3655870B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-19T12:04:04.784Z","","78","40.94","Yonkers","-73.9","1011","76","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","201.518","12"
"5260A45E-559B-4486-A88E-90DD2E543DC0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-07-25T13:22:45.976Z","","82","40.73","Hoboken","-74.04","1019","64","2","DvGx1A7L7wNN9Han9GjEm08Mb7t2","16093","","40","4"
"52AF776B-EDC9-4997-896C-B5574D5CD052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-13T11:33:59.017Z","","64","40.76","Weehawken","-74","1015","72","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","258.001","2"
"52E49776-27FB-4DC5-BCA3-21EB45CC1508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-08-09T11:42:16.659Z","","72","41.2","West Haverstraw","-73.99","1022","60","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","256.5","2"
"54CE0E90-3316-4B56-8907-04E170964F81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-05-29T04:07:33.984Z","","77","41.11","Suffern","-74.14","1014","60","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","110","6"
"5552FA54-EF11-4888-977E-1B88A0B62E77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","2017-07-12T11:08:40.282Z","","94","41.16","Ossining","-73.87","1016","71","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","8047","","217.501","3"
"5E4AFF11-6850-4CCB-96BA-EA1CBD38787C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-08-28T11:45:51.930Z","","77","40.84","Bronx","-73.93","1026","59","1","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","55.50490188598633","6"
"5f159ad0-6ad1-11e7-908f-4b064f587a76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-17T09:21:53.405Z","Alexa","87","47.63","Seattle","-122.35","1021","55.62","1","","16093","","20.0008","5.5"
"6116C39F-2B59-47DD-8A54-2380CA73675C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-28T01:16:40.949Z","","82","41.11","Airmont","-74.13","1013","67","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","0.00213623","2"
"615C478C-774C-4255-A39D-5629DFE43311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-09-02T14:01:33.523Z","","76","41.2","West Haverstraw","-73.99","1025","56","1","6eUdqOHk4YhcgJo2CqkSv8PI7ZF3","16093","","70.0011","3"
"67ED43A9-4905-4B47-B213-E7B71B746190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","2017-06-22T21:07:28.430Z","","54","41.2","West Haverstraw","-73.99","1013","83","2","6eUdqOHk4YhcgJo2CqkSv8PI7ZF3","32186","","220","8"
"69197290-516d-11e7-9098-6d44c9184f7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2017-06-15T01:53:21.466Z","Alexa","46","41.2","Garnerville","-74","1017","70.63","0","","16093","","51.502","1.79"
"6C4D6A53-8986-45A1-A185-0F1C8E273CCA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-30T13:10:11.539Z","","87","40.71","New York","-74.01","1022","55","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","8047","","160","8"
"6EC7C1F2-EED6-43E8-A257-C585BA11BC29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-08-29T14:21:32.255Z","","77","40.71","New York","-74.01","1024","65","1","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","60","9"
"6ca3ae80-6086-11e7-be36-e17cbde4202e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-07-04T07:00:12.265Z","Alexa","94","37.77","San Francisco","-122.41","1018","61.47","1","","16093","","140","4.7"
