"|","|__coffeechooser__base","|__coffeechooser__clouds__all","|__coffeechooser__cod","|__coffeechooser__coord__lat","|__coffeechooser__coord__lon","|__coffeechooser__device","|__coffeechooser__dt","|__coffeechooser__id","|__coffeechooser__main__humidity","|__coffeechooser__main__pressure","|__coffeechooser__main__temp","|__coffeechooser__main__temp_max","|__coffeechooser__main__temp_min","|__coffeechooser__name","|__coffeechooser__sys__country","|__coffeechooser__sys__id","|__coffeechooser__sys__message","|__coffeechooser__sys__sunrise","|__coffeechooser__sys__sunset","|__coffeechooser__sys__type","|__coffeechooser__visibility","|__coffeechooser__weather__description","|__coffeechooser__weather__icon","|__coffeechooser__weather__id","|__coffeechooser__weather__main","|__coffeechooser__wind__deg","|__coffeechooser__wind__gust","|__coffeechooser__wind__speed","|__clouds","|__date","|__device","|__humidity","|__lat","|__location","|__lon","|__pressure","|__temp","|__type","|__userId","|__visibility","|__weatherCond","|__windDeg","|__windSpeed"
"A4E5723F-7AD0-48E6-9F1A-E13A23F8810A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-18T16:15:43.211Z","","83","41.1","Bardonia","-74","1012","80","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","11265","","170","10"
"A722D78A-55B2-44ED-9415-C3C10F96CC5E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-21T14:46:27.184Z","","47","41.11","Suffern","-74.14","1014","76","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","310","11"
"ABDA9F52-4E01-41B9-8B20-0B48F28D1CDB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-22T11:30:55.560Z","","68","40.97","Hastings-on-Hudson","-73.89","1017","64","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","280","4"
"AD57FE49-751F-4C5A-B00A-B14DF0CD4B40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-01T13:47:32.399Z","","77","41.2","West Haverstraw","-73.99","1014","64","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","256.501","3"
"B1EC6E33-C1E5-40B5-B45E-381B83D040E5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-31T03:45:34.065Z","","93","41.11","Suffern","-74.14","1019","56","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","172.001","4"
"B88886AA-D120-4BD4-AF39-29B24B065144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-29T14:36:51.285Z","","100","41.2","West Haverstraw","-73.99","1014","56","1","6eUdqOHk4YhcgJo2CqkSv8PI7ZF3","4828","","116.501","3"
"BC66A34D-ECE9-41F5-9521-FD443091A952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-26T14:26:36.843Z","","40","40.73","Hoboken","-74.03","1017","72","1","DvGx1A7L7wNN9Han9GjEm08Mb7t2","16093","","310","8"
"BE5A8C1C-6CA0-460D-B1C8-BB1E4F0579FA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-06T18:47:28.809Z","","82","37.33","San Jose","-121.89","1015","64","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","14484","","150","4"
"C14E4488-578E-4B97-9FDB-90B8E2467586","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-26T19:24:20.432Z","","29","41.11","Airmont","-74.13","1016","77","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","260","9"
"C495A701-70E1-48C0-92D9-F06B52BDA648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-01T13:47:27.629Z","","77","41.2","West Haverstraw","-73.99","1014","64","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","256.501","3"
"C4A4547F-8444-4213-A8AD-4A2A07C698F1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-07-28T13:59:03.923Z","","83","41.21","Haverstraw","-73.96","1012","74","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","20","3"
"C5976E55-5275-4E9C-928F-E0CB9690A1F8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-27T16:28:50.538Z","","56","40.73","Hoboken","-74.03","1015","71","1","DvGx1A7L7wNN9Han9GjEm08Mb7t2","16093","","137.501","3"
"C8EED263-4F50-47A1-8E3D-55909FD468D7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-04T18:11:13.363Z","","59","41.11","Airmont","-74.13","1015","65","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","12874","","210","5"
"CDD09461-6C89-413F-8AA2-7C5FE623D7E5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-06-07T13:48:59.141Z","","67","40.67","Bayonne","-74.12","1016","56","1","DvGx1A7L7wNN9Han9GjEm08Mb7t2","16093","","50","9"
"D420E8A3-1EA3-48F5-9EAA-EE955CBFA16C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-08-10T20:51:54.637Z","","47","40.75","Long Island City","-73.98","1023","81","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","0","6"
"DDB60372-915B-4B65-8886-A050ACFD1194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","2017-06-12T17:09:13.356Z","","31","40.76","Weehawken","-74","1016","89","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","290","4"
"DE620CEF-6D85-40B5-8CF7-BE05B08A215A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-21T17:02:42.378Z","","43","41.07","Ramsey","-74.14","1012","86","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","290","8"
"E183B78B-F90B-4977-BC2C-0B682574AA86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-13T15:14:17.691Z","","43","40.73","Hoboken","-74.04","1014","85","1","DvGx1A7L7wNN9Han9GjEm08Mb7t2","16093","","300","8"
"E5C77B6D-63CB-41C9-82DD-202007CC62FD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-18T20:51:36.940Z","","55","41.1","Suffern","-74.16","1017","86","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","150","10"
"E8DC9365-C02F-4744-ADAA-A276B67CC046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-11T14:36:15.840Z","","61","40.73","Hoboken","-74.03","1015","77","2","DvGx1A7L7wNN9Han9GjEm08Mb7t2","16093","","270","6"
"EA73B513-95DD-4912-B1DB-3DCA273E7FF3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-29T15:38:07.341Z","","100","41.07","Ramsey","-74.14","1014","56","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","4828","","94.0007","3"
"EB9707D9-A5CF-43C4-AB6C-1F04D6D64069","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-27T16:43:08.962Z","","56","41.2","West Haverstraw","-73.99","1015","71","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","195.501","6"
"ED817D3F-C9C7-4FB2-83AB-6C7D806B8BD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-06-20T11:54:34.422Z","","78","41.11","Suffern","-74.14","1012","70","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","24140","","260","9"
"EEDD4404-531B-42ED-ADE9-24EA2DE143C9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-08-01T13:15:49.460Z","","61","40.71","New York","-74.01","1019","78","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","60","4"
"F2EB16F2-9D87-475B-AA9C-41E210C0F57B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-29T14:22:44.297Z","","100","41.2","West Haverstraw","-73.99","1014","56","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","4828","","116.501","3"
"F3AAF8D4-1F2F-4B8A-8CFB-23AE6ABE345D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-30T13:10:14.271Z","","87","40.71","New York","-74.01","1022","55","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","8047","","160","8"
"F4C624E4-286F-4030-AE40-5F54296A77F0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-08-15T11:08:43.491Z","","88","41.16","Ossining","-73.87","1014","68","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","0","4"
"F8B53501-E8A8-4578-A147-4329F421229F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-07-23T13:02:09.790Z","","88","41.09","Nyack","-73.92","1008","73","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","6437","","56.5027","5"
"FA578D86-0AE3-4679-B098-AF5B52872054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-24T21:32:14.371Z","","33","41.07","Chestnut Ridge","-74.06","1009","83","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","300","10"
"FA7F49CB-F268-433B-A98F-B4592E93FAAA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-07-24T04:01:02.327Z","","83","41.11","Airmont","-74.13","1011","72","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","14484","","130","6"
"FAC03C70-BA99-4C03-A803-D17ABC1A7B00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-26T11:46:45.993Z","","59","40.83","Bronx","-73.93","1017","62","2","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","212.006","3"
"FAC999A7-530D-4FE4-8AB3-44BD1B608E3D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-09-01T14:19:28.690Z","","41","41.2","West Haverstraw","-73.99","1020","59","1","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","330","16"
"FC3A9503-3577-4305-8485-E0D95CD436A4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-09-02T14:00:29.216Z","","76","41.2","West Haverstraw","-73.99","1025","57","1","KeAdoRGcxYfNNQeAfvMG5DFj5zB3","16093","","70.0010986328125","3"
"FD54DC94-1015-4989-840A-5EF354405913","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-05-28T20:57:54.860Z","","73","41.12","Valley Cottage","-73.94","1013","69","1","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","32186","","140","11"
"FE2AE1EE-F399-4740-A1D5-4E83174AF9F0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-07-08T19:15:57.889Z","","51","41.11","Airmont","-74.13","1007","82","2","fvqRYUa0YRTqDmwPkLE7nn0YrLX2","16093","","280","14"
"a6e2bb60-4914-11e7-98d2-233b0f597bc8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-06-04T10:57:50.615Z","Alexa","100","41.2","Garnerville","-74","1017","47.61","1","","16093","","228.008","3.06"
"ac39c200-6086-11e7-be36-e17cbde4202e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","2017-07-04T07:01:58.944Z","Alexa","94","37.77","San Francisco","-122.41","1018","61.47","1","","16093","","140","4.7"
"b0fe6350-8e57-11e7-ab57-434a57339273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-08-31T14:21:34.086Z","Alexa","60","41.2","Haverstraw","-73.97","1013","72.81","1","","16093","","300","12.75"
"b99b7d90-5e96-11e7-86d5-01fa933c164e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-07-01T19:51:51.018Z","Alexa","78","41.2","Haverstraw","-73.97","1012","81.45","1","","16093","","198.505","6.71"
"bc75b130-60bb-11e7-8441-799a20e48d26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-07-04T13:21:49.508Z","Alexa","49","41.2","Haverstraw","-73.97","1019","71.74","1","","16093","","360","9.17"
"bd506aa0-5553-11e7-a942-9512a561f29d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-20T00:59:40.490Z","Alexa","94","41.2","Garnerville","-74","1011","70.77","1","","16093","","210","6.93"
"c960f2b0-5553-11e7-9943-199979f35244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-20T01:00:00.731Z","Alexa","94","41.2","Garnerville","-74","1011","70.77","1","","16093","","210","6.93"
"cbebf5b0-6ad0-11e7-908f-4b064f587a76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-17T09:17:46.507Z","Alexa","87","47.63","Seattle","-122.35","1021","55.62","1","","16093","","20.0008","5.5"
"d5030160-56db-11e7-8cfd-b73548e46803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","2017-06-21T23:46:22.967Z","Alexa","44","41.2","Garnerville","-74","1012","80.04","1","","16093","","260","5.82"
"dd3804e0-6acf-11e7-908f-4b064f587a76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-17T09:11:06.030Z","Alexa","87","47.63","Seattle","-122.35","1021","55.62","1","","16093","","20.0008","5.5"
"e15bbc40-6982-11e7-91b9-a130a8d3792d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2017-07-15T17:27:30.621Z","Alexa","57","41.2","Haverstraw","-73.97","1014","81.19","1","","16093","","290","10.29"
"e239b9a0-6bc6-11e7-809f-272d8747938c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2017-07-18T14:39:20.123Z","Alexa","88","33.76","Long Beach","-118.13","1014","68.11","1","","9656","","339.503","1.86"
"e85cc570-56db-11e7-8cfd-b73548e46803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","2017-06-21T23:46:55.431Z","Alexa","44","41.2","Garnerville","-74","1012","80.04","1","","16093","","260","5.82"
"eb921900-585e-11e7-abd0-57f7b9979055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","2017-06-23T21:57:16.049Z","Alexa","78","41.2","Garnerville","-74","1004","81.95","1","","32186","","240","8.05"
