,clouds,date,humidity,temp,type,visibility,windSpeed,zipcode,day_of_week,is_weekend_False,is_weekend_True,month,season_fall,season_spring,season_summer,season_winter,part_of_day_afternoon,part_of_day_evening,part_of_day_morning,part_of_day_night,weatherCond_Clear,weatherCond_Clouds,weatherCond_Fog,weatherCond_Haze,weatherCond_Rain,weatherCond_Smoke,weatherCond_Snow,weatherCond_Thunderstorm
D420E8A3-1EA3-48F5-9EAA-EE955CBFA16C,1,2017-08-10T20:51:54.637Z,47,81.0,1,10.0,6.0,10016,3,1,0,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
84DA4030-0FCA-4371-8F43-EE516C6FD9B2,1,2018-12-11T11:31:12.971Z,92,21.0,1,10.0,2.0,10923,1,1,0,12,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
798E1840-41F2-4EB3-9779-6B58C94325EA,90,2017-06-06T12:55:41.130Z,100,55.0,1,10.0,5.0,10901,1,1,0,6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
7FEF1753-787B-4273-A9F6-8C7E6E5B8A87,75,2018-09-24T00:28:01.277Z,77,61.0,1,10.0,3.0,10920,0,1,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
A0208198-2139-49E9-81DC-224CCFE10D1D,40,2018-10-05T17:29:25.142Z,50,66.0,1,10.0,4.0,7677,4,1,0,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8135D5CC-52C0-4AD8-8ECB-F1D7B28156AC,20,2018-06-03T23:24:34.770Z,63,59.0,1,10.0,5.0,10018,6,0,1,6,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
e73502a0-1bbd-11e8-92ce-7bf5d28e1d04,1,2018-02-27T12:58:27.659Z,47,31.0,1,10.0,4.0,10927,1,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
01125B66-EB0B-455F-8672-48E6413510A5,1,2018-01-09T17:45:30.285Z,48,40.0,1,10.0,17.0,10923,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
8B4BAC66-9736-47CF-AB7D-210E5D855077,40,2018-09-27T11:26:54.317Z,64,58.0,1,10.0,12.0,10923,3,1,0,9,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
14632E2C-254F-4757-967F-4DDBDE93988D,90,2018-01-12T14:31:56.878Z,100,58.0,1,2.0,8.0,10923,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
992BC9A2-4A2A-487C-AC14-6F4E105BE593,1,2018-09-29T13:11:32.606Z,86,58.0,1,10.0,8.0,10927,5,1,0,9,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
734F599C-AB26-42BB-80CA-B3A857225DCD,90,2018-12-28T15:31:14.723Z,100,49.0,1,1.0,5.0,10954,4,1,0,12,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
7F873238-69B8-425C-A4FB-6058D47A2960,1,2017-06-02T21:31:51.387Z,20,73.0,1,10.0,14.0,10901,4,1,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
8AC4DE2F-6FF9-42FF-9FAB-1801EA629C56,1,2018-06-15T11:35:00.648Z,55,62.0,1,10.0,6.0,10901,4,1,0,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
F785FFE6-7670-4712-99EB-93D93BD3485A,90,2017-09-16T13:09:06.918Z,100,68.0,1,0.0,2.0,10923,5,1,0,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2698BB65-BFD0-4654-9BD2-D3494A5D67B7,40,2018-12-25T14:32:36.501Z,63,35.0,1,10.0,11.0,10923,1,1,0,12,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
BF42FA3A-A936-4E88-91CD-CC1722A5BC5E,75,2018-10-06T18:06:17.882Z,83,64.0,1,10.0,9.0,10923,5,1,0,10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
473cfad0-9e15-11e7-8bed-7584bda023cc,75,2017-09-20T15:06:28.478Z,69,75.0,1,10.0,11.0,10927,2,1,0,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0390A93B-3969-41EB-8E3F-CAD14AB67E66,90,2018-09-10T22:33:45.866Z,93,60.0,1,1.0,9.0,10994,0,1,0,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
30747C59-8869-483D-A3F3-A64E905A5F5C,1,2018-01-19T22:20:22.529Z,60,35.0,1,10.0,4.0,10980,4,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
AD9B91D2-EC08-427C-A00D-4118DDFF09C7,1,2017-11-24T16:00:18.374Z,42,43.0,1,10.0,5.0,10994,4,1,0,11,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
C9E2591A-953A-402D-A622-61672EA8B95F,1,2018-11-23T20:49:01.097Z,19,30.0,1,10.0,6.0,10920,4,1,0,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0ae247a0-3e44-11e8-a931-09b27e85cab9,40,2018-04-12T11:24:19.619Z,69,39.0,1,10.0,5.0,10701,3,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
BF9F7D37-9C96-435F-BEAF-9E691787E28B,20,2018-10-18T20:20:46.505Z,31,50.0,1,10.0,17.0,10954,3,1,0,10,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
116A9C18-4AC3-4C06-83DC-46FCD731776A,1,2017-09-04T14:05:45.977Z,60,67.0,1,10.0,9.0,10984,0,1,0,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4F389E8C-6053-4202-AE80-2CFA3612F88D,90,2018-12-14T15:05:04.594Z,88,40.0,1,9.0,4.0,10954,4,1,0,12,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
B7C11EAA-0A1A-4DDE-88E4-57CE7A508773,90,2018-10-04T20:05:51.045Z,87,71.0,1,7.0,4.0,12590,3,1,0,10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5d925800-ee6c-11e7-bf44-8ba7144802f5,75,2017-12-31T20:51:25.185Z,47,14.0,1,10.0,18.0,10927,6,0,1,12,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
4096c720-1a4c-11e8-a648-4dce2c75a7a5,90,2018-02-25T16:52:23.827Z,100,41.0,1,3.0,14.0,10927,6,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
312CB0BD-9971-48F7-A187-B96E4958F0FD,1,2018-07-11T21:24:09.250Z,57,76.0,1,10.0,11.0,94085,2,1,0,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
4C27ACAB-F733-42F8-BE59-7E6603AAC078,1,2017-12-13T12:40:33.781Z,48,19.0,1,10.0,18.0,7670,2,1,0,12,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
4DCFBE07-4FC4-4FF8-A48D-2E5969A40E1E,75,2018-12-04T11:45:37.540Z,66,36.0,1,10.0,11.0,10923,1,1,0,12,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
F34DF9E0-3A95-4EB4-BFE7-97DE953BBBAA,90,2017-10-30T11:21:36.085Z,87,48.0,1,3.0,18.0,10591,0,1,0,10,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
