,clouds,date,humidity,pressure,temp,type,visibility,windDeg,windSpeed,zipcode
85,1,2017-07-17T09:21:53.405Z,87,1021,55.62,1,16093,20.0008,5.5,98109
86,1,2017-10-22T15:26:29.957Z,40,1030,66.33,1,16093,150,5.82,10927
87,90,2017-05-28T01:16:40.949Z,82,1013,67,1,16093,0.00213623,2,10901
88,1,2017-09-02T14:01:33.523Z,76,1025,56,1,16093,70.0011,3,10923
89,75,2017-09-14T14:02:47.498Z,88,1013,71.37,1,3219,180,3.36,10927
90,90,2017-10-12T11:43:06.660Z,82,1025,55,1,16093,70,16,10522
91,40,2017-09-15T18:58:16.722Z,69,1017,78,0,16093,0,3,12533
92,20,2017-06-22T21:07:28.430Z,54,1013,83,0,32186,220,8,10923
93,5,2017-06-15T01:53:21.466Z,46,1017,70.63,1,16093,51.501999999999995,1.79,10923
94,75,2017-12-05T12:32:18.859Z,81,1025,50,1,16093,150,9,10522
96,40,2017-08-29T14:21:32.255Z,77,1024,65,1,16093,60,9,10002
97,90,2017-07-04T07:00:12.265Z,94,1018,61.47,0,16093,140,4.7,94103
99,1,2017-09-22T11:37:37.018Z,100,1018,62.37,0,9656,200,3.36,10927
100,1,2017-06-09T15:37:48.413Z,46,1008,72,1,16093,300,8,7310
102,40,2017-09-20T12:01:32.651Z,77,1011,71.24,1,16093,340,12.75,10927
103,40,2017-06-20T04:07:48.184Z,100,1012,70,0,16093,190,5,10923
106,90,2017-12-22T21:45:20.991Z,79,1021,41,1,16093,0,5,10954
107,1,2017-07-17T09:15:22.521Z,87,1021,55.62,0,16093,20.0008,5.5,98109
109,75,2017-06-03T16:08:13.555Z,40,1014,64,0,16093,330,12,10960
110,40,2017-11-26T17:48:22.639Z,45,1013,45,1,16093,300,17,10923
116,1,2017-06-02T21:31:51.387Z,20,1012,73,0,16093,300,14,10901
118,90,2017-07-04T07:00:42.579Z,94,1018,61.47,0,16093,140,4.7,94103
119,75,2017-06-20T01:12:14.587Z,94,1011,70.77,1,16093,210,6.93,10923
120,90,2017-12-30T18:16:03.600Z,85,1014,19.27,1,1207,270,4.7,10927
122,1,2017-06-12T02:25:02.454Z,39,1016,80,0,16093,270,4,10901
123,90,2017-08-07T13:32:53.862Z,77,1020,67,0,11265,239.50099999999998,7,10002
124,1,2017-08-28T13:36:08.427Z,77,1026,59,1,16093,55.50490188598633,6,10452
125,1,2017-11-04T15:40:38.639Z,46,1027,50.23,1,16093,70,6.93,10927
127,1,2017-11-25T18:55:41.406Z,35,1005,55,1,16093,180,11,10956
128,1,2017-07-17T09:15:45.089Z,87,1021,55.62,0,16093,20.0008,5.5,98109
129,90,2017-12-09T21:23:43.842Z,92,1007,29,1,805,340,6,10923
130,75,2017-11-20T12:12:48.580Z,55,1014,35,1,16093,280,11,10562
132,75,2017-10-16T11:20:50.138Z,67,1012,58,1,16093,300,14,10562
135,1,2017-08-06T18:29:35.475Z,46,1019,73,0,16093,300,6,10923
137,90,2017-07-27T10:56:33.303Z,100,1018,62,0,16093,218.50400000000002,3,10927
138,1,2017-06-02T12:05:28.240Z,55,1016,55,1,16093,255,3,10901
139,1,2017-12-07T16:15:47.820Z,41,1015,41,1,16093,260,9,10923
140,1,2017-08-29T10:26:46.775Z,87,1024,60.58,0,16093,50,8.05,10927
141,1,2017-07-31T01:39:44.164Z,68,1017,70,1,16093,14.0082,2,10989
142,20,2017-11-03T18:09:39.997Z,60,1015,70,0,16093,230,9,10954
