,clouds,humidity,temp,type,visibility,windSpeed,weatherCond_Clear,weatherCond_Clouds,weatherCond_Fog,weatherCond_Haze,weatherCond_Rain,weatherCond_Smoke,weatherCond_Snow,weatherCond_Thunderstorm
B1C1AEF7-C735-4FAC-90D8-320E39F68AC0,75,87,61.0,0,10.0,10.0,0,0,0,0,1,0,0,0
944c97c0-2f8a-11e8-a339-a38e4cbff0fa,1,29,46.0,1,10.0,13.0,1,0,0,0,0,0,0,0
F7888805-4CB8-41E6-A653-8A77A4EBB651,40,78,84.0,0,0.0,3.0,0,1,0,0,0,0,0,0
0A70BD70-1425-4A54-A085-59EBADD00A98,90,64,72.0,1,10.0,4.0,0,1,0,0,0,0,0,0
1DFAAB89-072A-4CCF-BA26-72A9F55CCC23,40,59,61.0,1,10.0,5.0,0,1,0,0,0,0,0,0
CEE6A9B7-DAF7-4DE0-8B21-21DC4A0CCFAB,75,100,64.0,0,3.0,6.0,0,0,0,0,1,0,0,0
B5FE9CA4-7080-41CA-9871-7FD90A1D9E75,90,81,53.0,1,8.0,8.0,0,0,0,0,1,0,0,0
60BB8ACD-314E-4860-A3ED-751102E287BE,75,100,61.0,1,1.0,2.0,0,0,0,0,1,0,0,0
15965858-8AEA-4B84-9E50-29D4DD4F51DF,90,88,67.0,1,6.0,8.0,0,0,0,0,1,0,0,0
5f159ad0-6ad1-11e7-908f-4b064f587a76,1,87,56.0,1,10.0,6.0,0,1,0,0,0,0,0,0
e16a5790-f150-11e7-aa07-2b123bcc26bc,90,92,22.0,1,1.0,28.0,0,0,0,0,0,0,1,0
883794BE-E950-408E-84F2-A4978BDB07B6,75,88,71.0,1,10.0,5.0,0,1,0,0,0,0,0,0
7eb56230-6086-11e7-be36-e17cbde4202e,90,94,61.0,0,10.0,5.0,0,1,0,0,0,0,0,0
fb7dff40-747e-11e8-97e9-29c7c769a9e2,40,59,66.0,0,10.0,5.0,0,1,0,0,0,0,0,0
6E06341C-18E9-48FE-AC67-F35F7409CCF6,20,44,57.0,1,10.0,4.0,0,0,0,0,1,0,0,0
0830f230-51eb-11e8-9f91-8b602027c07e,90,93,52.0,0,1.0,5.0,0,0,1,0,0,0,0,0
F8B53501-E8A8-4578-A147-4329F421229F,90,88,73.0,1,4.0,5.0,0,1,0,0,0,0,0,0
f81ef890-2136-11e8-943e-89e4a17273e5,1,80,27.0,1,10.0,8.0,1,0,0,0,0,0,0,0
BA1CC533-14C1-49CC-A569-E2576CE2D1F5,75,94,72.0,0,8.0,3.0,0,1,0,0,0,0,0,0
A443E37C-95E4-4688-A01D-A73508B09C53,1,52,45.0,1,10.0,16.0,1,0,0,0,0,0,0,0
7B250E85-9B8F-49A3-AA57-BB71C354FDE9,40,58,84.0,0,10.0,13.0,0,1,0,0,0,0,0,0
0689E459-C7F3-4ED7-8582-58FF1C10B3D4,75,55,61.0,1,10.0,5.0,0,1,0,0,0,0,0,0
E8C298E9-36DC-4749-8347-41BF5E426481,90,93,66.0,0,1.0,4.0,0,0,0,0,1,0,0,0
749FA28B-6DAB-4D12-A104-D08DC0B3034E,90,79,41.0,1,10.0,5.0,0,1,0,0,0,0,0,0
B27167FE-8301-4D86-AFCB-D58F07EF7495,5,82,59.0,0,15.0,4.0,1,0,0,0,0,0,0,0
0b597090-2202-11e8-a5e5-95dc49283092,90,92,33.0,1,2.0,9.0,0,0,0,0,0,0,1,0
9BED198E-CE1F-41B4-B62C-7A941C524A71,1,100,74.0,0,4.0,3.0,0,0,0,0,1,0,0,0
473cfad0-9e15-11e7-8bed-7584bda023cc,75,69,75.0,1,10.0,11.0,0,1,0,0,0,0,0,0
7801B07F-C73A-4EA7-81DC-92E495A5155E,75,40,64.0,1,10.0,12.0,0,1,0,0,0,0,0,0
9D17E599-AD04-4A3E-8203-84FA47916B5B,40,78,84.0,0,0.0,3.0,0,1,0,0,0,0,0,0
5260A45E-559B-4486-A88E-90DD2E543DC0,90,82,64.0,1,10.0,4.0,0,1,0,0,0,0,0,0
3124A30D-6DD6-477D-AC41-EE1D9EFCF511,1,65,81.0,0,10.0,8.0,1,0,0,0,0,0,0,0
29e14870-516b-11e7-b1b1-77126e6b71b6,1,59,71.0,1,10.0,6.0,1,0,0,0,0,0,0,0
5E4AFF11-6850-4CCB-96BA-EA1CBD38787C,1,77,59.0,1,10.0,6.0,0,1,0,0,0,0,0,0
FAC999A7-530D-4FE4-8AB3-44BD1B608E3D,1,41,59.0,1,10.0,16.0,1,0,0,0,0,0,0,0
5DDB34B5-9973-4D85-8856-8999B8198EA3,20,58,81.0,0,10.0,9.0,0,1,0,0,0,0,0,0
638105D6-F348-45AE-9FE9-1CBD0D60F049,90,82,55.0,1,10.0,16.0,0,1,0,0,0,0,0,0
B5A516D3-04CD-4B69-8315-15C1C5FDEE93,1,45,67.0,0,10.0,5.0,1,0,0,0,0,0,0,0
EFF322BF-E76D-47F1-B3CD-7842B7D2594C,1,42,74.0,0,10.0,6.0,1,0,0,0,0,0,0,0
DD488F56-F31E-4F2C-882D-0987721D1ACB,20,73,30.0,1,10.0,5.0,1,0,0,0,0,0,0,0
931E85FF-EC8F-4B9A-92AE-0F44F3765162,1,64,35.0,1,10.0,3.0,1,0,0,0,0,0,0,0
C979BA07-4A46-45DB-85D5-CA2B90E4D94B,1,51,83.0,0,10.0,9.0,0,0,0,0,1,0,0,0
08E2DB7C-7289-4216-A4F3-A424B26692DA,1,60,71.0,0,10.0,4.0,1,0,0,0,0,0,0,0
8f745320-8ca4-11e7-ac04-c565305c02d6,1,87,61.0,0,10.0,8.0,0,1,0,0,0,0,0,0
C73671B2-4E82-4C93-9EE8-DABFD46C07E3,40,82,65.0,1,10.0,5.0,1,0,0,0,0,0,0,0
F09FFB74-CA92-4B00-8230-2E018321EF96,0,69,79.0,1,6.0,13.0,1,0,0,0,0,0,0,0
37ED8D81-924D-4EDE-8A5F-CB3875747474,1,93,58.0,1,10.0,3.0,1,0,0,0,0,0,0,0
B543A78D-0392-4FBA-80CC-B7DFEC9C2593,20,35,73.0,0,10.0,5.0,0,1,0,0,0,0,0,0
ea073c00-9fc0-11e8-b913-5bfb6f049d0c,40,100,72.0,0,1.0,3.0,0,0,0,0,1,0,0,0
964B283F-0754-4AF3-8384-5B51C78AD61D,1,35,83.0,1,10.0,24.0,0,1,0,0,0,0,0,0
6eb5f050-9f8a-11e7-b2a9-8d3ab17c1352,1,100,62.0,0,6.0,3.0,0,1,0,0,0,0,0,0
1FDB3183-7D35-4C78-BD1D-790B12A727E0,20,68,72.0,1,10.0,5.0,0,1,0,0,0,0,0,0
5C1B396B-04C9-4257-9316-B9451C73FEA9,75,100,57.0,1,1.0,6.0,0,0,0,0,1,0,0,0
bd506aa0-5553-11e7-a942-9512a561f29d,75,94,71.0,1,10.0,7.0,0,1,0,0,0,0,0,0
47BF22AC-E901-4EED-9481-667FFD97F034,90,100,61.0,0,1.0,4.0,0,0,0,0,1,0,0,0
